id,title,status
001	Mariana Trench Depth Mystery	processing
002	Bermuda Triangle Mystery	processing
003	Baltic Sea Anomaly	processing
004	Devil's Sea Mystery	pending
005	Yonaguni Monument Underwater Mystery	pending
006	Bloop Sound Mystery	pending
007	Milky Sea Phenomenon	pending
008	Brine Pool Mystery	pending
009	Underwater Methane Mystery	pending
010	Deep Sea Gigantism Mystery	pending
011	Ocean Dead Zones Mystery	pending
012	Rogue Wave Mystery	pending
013	Ocean Whirlpool Mystery	pending
014	Blue Hole Mystery	pending
015	Deep Sea Bioluminescence Mystery	pending
016	Underwater Volcano Mystery	pending
017	Lost Underwater Forest Mystery	pending
018	Sunken Continent Zealandia Mystery	pending
019	Sargasso Sea Mystery	pending
020	Black Smokers Mystery	pending
021	Antarctica Blood Falls Mystery	pending
022	Antarctica Lake Vostok Mystery	pending
023	Antarctica Lake Whillans Mystery	pending
024	Antarctica Ice Caves Mystery	pending
025	Antarctica Hidden Mountains Mystery	pending
026	Antarctica Gamburtsev Mountains Mystery	pending
027	Antarctica Subglacial Lakes Mystery	pending
028	Antarctica Under-Ice River Mystery	pending
029	Antarctica Dry Valleys Mystery	pending
030	Antarctica Green Iceberg Mystery	pending
031	Antarctica Blue Ice Mystery	pending
032	Antarctica Icequake Mystery	pending
033	Antarctica Thwaites Glacier Mystery	pending
034	Antarctica Pine Island Glacier Mystery	pending
035	Antarctica Ross Ice Shelf Mystery	pending
036	Antarctica Weddell Sea Mystery	pending
037	Antarctica Subglacial Volcano Mystery	pending
038	Antarctica Fossil Forest Mystery	pending
039	Antarctica Meteorites Mystery	pending
040	Antarctica Hidden Canyon Mystery	pending
041	Dark Matter Mystery	pending
042	Dark Energy Mystery	pending
043	Fast Radio Burst Mystery	pending
044	Oumuamua Mystery	pending
045	Tabby's Star Mystery	pending
046	Wow Signal Mystery	pending
047	Black Hole Information Mystery	pending
048	Galaxy Rotation Mystery	pending
049	Hubble Tension Mystery	pending
050	Cosmic Microwave Background Mystery	pending
051	Planet Nine Mystery	pending
052	Fermi Paradox Mystery	pending
053	Great Attractor Mystery	pending
054	Kilonova Mystery	pending
055	Neutron Star Mystery	pending
056	Pulsar Mystery	pending
057	Quasar Mystery	pending
058	Rogue Planet Mystery	pending
059	White Dwarf Mystery	pending
060	Magnetar Mystery	pending
061	Death Valley Moving Rocks Mystery	pending
062	Sailing Stones Mystery	pending
063	Earthquake Lights Mystery	pending
064	Ball Lightning Mystery	pending
065	Singing Sand Mystery	pending
066	Sailing Stones of Racetrack Playa	pending
067	Door to Hell Mystery	pending
068	Lake Natron Mystery	pending
069	Lake Nyos Gas Mystery	pending
070	Blue Lava Mystery	pending
071	Eternal Flame Falls Mystery	pending
072	Blood Rain Mystery	pending
073	Fire Rainbow Mystery	pending
074	Morning Glory Cloud Mystery	pending
075	Sprites and Elves Mystery	pending
076	Brinicle Mystery	pending
077	Frost Flowers Mystery	pending
078	Snow Rollers Mystery	pending
079	Volcanic Lightning Mystery	pending
080	Lenticular Cloud Mystery	pending
081	Antikythera Mechanism Mystery	pending
082	Voynich Manuscript Mystery	pending
083	Phaistos Disc Mystery	pending
084	Nazca Lines Mystery	pending
085	Stonehenge Construction Mystery	pending
086	Great Pyramid Construction Mystery	pending
087	Sphinx Water Erosion Mystery	pending
088	Terracotta Army Mystery	pending
089	Mohenjo-daro Mystery	pending
090	G̦bekli Tepe Mystery	pending
091	Cahokia Mystery	pending
092	Easter Island Moai Mystery	pending
093	Nebra Sky Disc Mystery	pending
094	Lycurgus Cup Mystery	pending
095	Roman Dodecahedron Mystery	pending
096	Baghdad Battery Mystery	pending
097	Coso Artifact Mystery	pending
098	Dendera Light Debate	pending
099	Sacsayhuaman Construction Mystery	pending
100	Baiae Underwater City Mystery	pending
101	Roanoke Colony Mystery	pending
102	Mary Celeste Mystery	pending
103	Dancing Plague of 1518 Mystery	pending
104	Princes in the Tower Mystery	pending
105	Amber Room Mystery	pending
106	Lost Colony of Greenland Mystery	pending
107	Franklin Expedition Mystery	pending
108	Lost Army of Cambyses Mystery	pending
109	Massacre of the Janissaries Mystery	pending
110	Disappearance of the Princes in the Tower	pending
111	Man in the Iron Mask Mystery	pending
112	Lost Crown Jewels Mystery	pending
113	Oak Island Money Pit Mystery	pending
114	Gardner Museum Heist Mystery	pending
115	Beale Ciphers Mystery	pending
116	D.B. Cooper Mystery	pending
117	Tamam Shud Mystery	pending
118	Somerton Man Mystery	pending
119	Isdal Woman Mystery	pending
120	Zodiac Cipher Mystery	pending
121	Amelia Earhart Disappearance Mystery	pending
122	MH370 Disappearance Mystery	pending
123	Flight 19 Mystery	pending
124	Star Dust Plane Mystery	pending
125	BSAA Star Tiger Mystery	pending
126	Pan Am Flight 914 Hoax Mystery	pending
127	Ghost Plane Mystery	pending
128	Helios Airways 522 Mystery	pending
129	Air France 447 Mystery	pending
130	AirAsia 8501 Mystery	pending
131	Varig Flight 967 Mystery	pending
132	Lady Be Good Mystery	pending
133	Uruguayan Air Force Flight 571 Mystery	pending
134	Flying Dutchman Aviation Legend	pending
135	C-54 Arctic Ghost Flight Mystery	pending
136	Bermuda Triangle Flight Mystery	pending
137	Black Box Survival Mystery	pending
138	Aviation Vanishing Radar Mystery	pending
139	Mid-Air Collision Mystery	pending
140	Unidentified Aircraft Mystery	pending
141	Immortal Jellyfish Mystery	pending
142	Axolotl Regeneration Mystery	pending
143	Tardigrade Survival Mystery	pending
144	Octopus Intelligence Mystery	pending
145	Crows Tool Use Mystery	pending
146	Elephant Infrasound Mystery	pending
147	Whale Song Mystery	pending
148	Dolphin Echolocation Mystery	pending
149	Mantis Shrimp Vision Mystery	pending
150	Archerfish Accuracy Mystery	pending
151	Electric Eel Electricity Mystery	pending
152	Migratory Bird Navigation Mystery	pending
153	Monarch Butterfly Migration Mystery	pending
154	Salmon Homing Mystery	pending
155	Magnetic Senses in Animals Mystery	pending
156	Ant Colony Intelligence Mystery	pending
157	Slime Mold Intelligence Mystery	pending
158	Fungal Wood Wide Web Mystery	pending
159	Zombie Ant Fungus Mystery	pending
160	Deep Sea Fish Bioluminescence Mystery	pending
161	G̦bekli Tepe Hidden Chambers Mystery	pending
162	Derinkuyu Underground City Mystery	pending
163	Petra Water System Mystery	pending
164	Machu Picchu Engineering Mystery	pending
165	Angkor Water Network Mystery	pending
166	Teotihuacan Tunnel Mystery	pending
167	Pompeii Unfinished Buildings Mystery	pending
168	Herculaneum Scroll Mystery	pending
169	Knossos Labyrinth Mystery	pending
170	Minoan Linear A Mystery	pending
171	Indus Valley Script Mystery	pending
172	Etruscan Language Mystery	pending
173	Olmec Colossal Heads Mystery	pending
174	Maya Collapse Mystery	pending
175	Tiwanaku Construction Mystery	pending
176	Great Zimbabwe Construction Mystery	pending
177	Nan Madol Mystery	pending
178	Doggerland Lost Landscape Mystery	pending
179	Atlantis Evidence Mystery	pending
180	Thonis-Heracleion Sunken City Mystery	pending
181	Kola Superdeep Borehole Mystery	pending
182	Antikythera Gear Technology Mystery	pending
183	Roman Concrete Durability Mystery	pending
184	Damascus Steel Mystery	pending
185	Greek Fire Mystery	pending
186	Medieval Stained Glass Mystery	pending
187	Stradivarius Sound Mystery	pending
188	Baghdad Battery Experiment Mystery	pending
189	Ancient Concrete Mystery	pending
190	Ancient Roman Plumbing Mystery	pending
191	Inca Stone Fitting Mystery	pending
192	Maya Calendar Mystery	pending
193	Ancient Seismometer Mystery	pending
194	Chinese South-Pointing Chariot Mystery	pending
195	Archimedes Claw Mystery	pending
196	Archimedes Heat Ray Debate	pending
197	Pigeon Navigation Mystery	pending
198	Early Mechanical Computer Mystery	pending
199	Colossus Codebreaking Mystery	pending
200	Bletchley Park Code Mystery	pending
201	Mariana Trench: Origins and Earliest Clues	pending
202	Mariana Trench: How It Was Discovered	pending
203	Mariana Trench: What the Evidence Shows	pending
204	Mariana Trench: Scientific Explanation	pending
205	Mariana Trench: Biggest Unanswered Question	pending
206	Mariana Trench: Key Expedition	pending
207	Mariana Trench: Strangest Observation	pending
208	Mariana Trench: What Changed the Theory	pending
209	Mariana Trench: Inside the Investigation	pending
210	Mariana Trench: What Scientists Actually Know	pending
211	Mariana Trench: What Remains Uncertain	pending
212	Mariana Trench: Timeline of the Mystery	pending
213	Mariana Trench: First Major Clue	pending
214	Mariana Trench: New Evidence and Findings	pending
215	Mariana Trench: Most Important Discovery	pending
216	Mariana Trench: How Researchers Tested It	pending
217	Mariana Trench: Unexpected Discovery	pending
218	Mariana Trench: Hidden Detail	pending
219	Mariana Trench: Rare Phenomenon	pending
220	Mariana Trench: Natural Causes	pending
221	Mariana Trench: Engineering Challenge	pending
222	Mariana Trench: Remarkable Evidence	pending
223	Mariana Trench: Controversial Claim Examined	pending
224	Mariana Trench: Forgotten History	pending
225	Mariana Trench: Missing Evidence	pending
226	Mariana Trench: Latest Scientific Understanding	pending
227	Mariana Trench: How the Mystery Evolved	pending
228	Mariana Trench: The Biggest Misconception	pending
229	Mariana Trench: What the Data Reveals	pending
230	Mariana Trench: Could It Happen Again	pending
231	Mariana Trench: What Happened During the Investigation	pending
232	Mariana Trench: Why It Still Matters	pending
233	Bermuda Triangle: Origins and Earliest Clues	pending
234	Bermuda Triangle: How It Was Discovered	pending
235	Bermuda Triangle: What the Evidence Shows	pending
236	Bermuda Triangle: Scientific Explanation	pending
237	Bermuda Triangle: Biggest Unanswered Question	pending
238	Bermuda Triangle: Key Expedition	pending
239	Bermuda Triangle: Strangest Observation	pending
240	Bermuda Triangle: What Changed the Theory	pending
241	Bermuda Triangle: Inside the Investigation	pending
242	Bermuda Triangle: What Scientists Actually Know	pending
243	Bermuda Triangle: What Remains Uncertain	pending
244	Bermuda Triangle: Timeline of the Mystery	pending
245	Bermuda Triangle: First Major Clue	pending
246	Bermuda Triangle: New Evidence and Findings	pending
247	Bermuda Triangle: Most Important Discovery	pending
248	Bermuda Triangle: How Researchers Tested It	pending
249	Bermuda Triangle: Unexpected Discovery	pending
250	Bermuda Triangle: Hidden Detail	pending
251	Bermuda Triangle: Rare Phenomenon	pending
252	Bermuda Triangle: Natural Causes	pending
253	Bermuda Triangle: Engineering Challenge	pending
254	Bermuda Triangle: Remarkable Evidence	pending
255	Bermuda Triangle: Controversial Claim Examined	pending
256	Bermuda Triangle: Forgotten History	pending
257	Bermuda Triangle: Missing Evidence	pending
258	Bermuda Triangle: Latest Scientific Understanding	pending
259	Bermuda Triangle: How the Mystery Evolved	pending
260	Bermuda Triangle: The Biggest Misconception	pending
261	Bermuda Triangle: What the Data Reveals	pending
262	Bermuda Triangle: Could It Happen Again	pending
263	Bermuda Triangle: What Happened During the Investigation	pending
264	Bermuda Triangle: Why It Still Matters	pending
265	Baltic Sea Anomaly: Origins and Earliest Clues	pending
266	Baltic Sea Anomaly: How It Was Discovered	pending
267	Baltic Sea Anomaly: What the Evidence Shows	pending
268	Baltic Sea Anomaly: Scientific Explanation	pending
269	Baltic Sea Anomaly: Biggest Unanswered Question	pending
270	Baltic Sea Anomaly: Key Expedition	pending
271	Baltic Sea Anomaly: Strangest Observation	pending
272	Baltic Sea Anomaly: What Changed the Theory	pending
273	Baltic Sea Anomaly: Inside the Investigation	pending
274	Baltic Sea Anomaly: What Scientists Actually Know	pending
275	Baltic Sea Anomaly: What Remains Uncertain	pending
276	Baltic Sea Anomaly: Timeline of the Mystery	pending
277	Baltic Sea Anomaly: First Major Clue	pending
278	Baltic Sea Anomaly: New Evidence and Findings	pending
279	Baltic Sea Anomaly: Most Important Discovery	pending
280	Baltic Sea Anomaly: How Researchers Tested It	pending
281	Baltic Sea Anomaly: Unexpected Discovery	pending
282	Baltic Sea Anomaly: Hidden Detail	pending
283	Baltic Sea Anomaly: Rare Phenomenon	pending
284	Baltic Sea Anomaly: Natural Causes	pending
285	Baltic Sea Anomaly: Engineering Challenge	pending
286	Baltic Sea Anomaly: Remarkable Evidence	pending
287	Baltic Sea Anomaly: Controversial Claim Examined	pending
288	Baltic Sea Anomaly: Forgotten History	pending
289	Baltic Sea Anomaly: Missing Evidence	pending
290	Baltic Sea Anomaly: Latest Scientific Understanding	pending
291	Baltic Sea Anomaly: How the Mystery Evolved	pending
292	Baltic Sea Anomaly: The Biggest Misconception	pending
293	Baltic Sea Anomaly: What the Data Reveals	pending
294	Baltic Sea Anomaly: Could It Happen Again	pending
295	Baltic Sea Anomaly: What Happened During the Investigation	pending
296	Baltic Sea Anomaly: Why It Still Matters	pending
297	Devil's Sea: Origins and Earliest Clues	pending
298	Devil's Sea: How It Was Discovered	pending
299	Devil's Sea: What the Evidence Shows	pending
300	Devil's Sea: Scientific Explanation	pending
301	Devil's Sea: Biggest Unanswered Question	pending
302	Devil's Sea: Key Expedition	pending
303	Devil's Sea: Strangest Observation	pending
304	Devil's Sea: What Changed the Theory	pending
305	Devil's Sea: Inside the Investigation	pending
306	Devil's Sea: What Scientists Actually Know	pending
307	Devil's Sea: What Remains Uncertain	pending
308	Devil's Sea: Timeline of the Mystery	pending
309	Devil's Sea: First Major Clue	pending
310	Devil's Sea: New Evidence and Findings	pending
311	Devil's Sea: Most Important Discovery	pending
312	Devil's Sea: How Researchers Tested It	pending
313	Devil's Sea: Unexpected Discovery	pending
314	Devil's Sea: Hidden Detail	pending
315	Devil's Sea: Rare Phenomenon	pending
